Date,@attributes.createdAt,message,attributes,attributes.indexName,attributes.jobID,@attributes.planID,@attributes.shardID,@attributes.shardType,attributes.appID,Message
"2024-04-10T11:21:02.365Z","""2024-04-10T10:45:29.047546Z""","""oldest pending job is 35m33.317468518s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:29.047546Z"",""jobID"":2270312539,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377517-1"",""planID"":2377517,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:21:02.365032347Z""}","""lc_prod_ct_products""","2270312539","2377517","""sh-2377517-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 35m33.317468518s"
"2024-04-10T11:20:02.794Z","""2024-04-10T10:45:29.047546Z""","""oldest pending job is 34m33.746709181s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:29.047546Z"",""jobID"":2270312539,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377517-1"",""planID"":2377517,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:20:02.794279962Z""}","""lc_prod_ct_products""","2270312539","2377517","""sh-2377517-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 34m33.746709181s"
"2024-04-10T11:19:02.274Z","""2024-04-10T10:45:29.047546Z""","""oldest pending job is 33m33.226456319s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:29.047546Z"",""jobID"":2270312539,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377517-1"",""planID"":2377517,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:19:02.274015278Z""}","""lc_prod_ct_products""","2270312539","2377517","""sh-2377517-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 33m33.226456319s"
"2024-04-10T11:18:02.246Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 32m40.045081034s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:18:02.246989423Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 32m40.045081034s"
"2024-04-10T11:17:02.572Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 31m40.370483131s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:17:02.57239692Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 31m40.370483131s"
"2024-04-10T11:16:02.256Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 30m40.054876091s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:16:02.256791874Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 30m40.054876091s"
"2024-04-10T11:15:02.773Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 29m40.572005009s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:15:02.773922059Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 29m40.572005009s"
"2024-04-10T11:14:02.250Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 28m40.048378058s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:14:02.250289036Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 28m40.048378058s"
"2024-04-10T11:13:02.340Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 27m40.138176731s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:13:02.340092123Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 27m40.138176731s"
"2024-04-10T11:12:02.624Z","""2024-04-10T10:45:22.201896Z""","""oldest pending job is 26m40.422408635s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:22.201896Z"",""jobID"":2270311974,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377518-1"",""planID"":2377518,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:12:02.624324386Z""}","""lc_prod_ct_products""","2270311974","2377518","""sh-2377518-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 26m40.422408635s"
